Row,Activity,Sex,Age,Type,Species,Fatal
1460,Spearfishing,M,23,Unprovoked,unknown,Y
61,Surfing,F,17,Unprovoked,white shark,Y
1711,Swimming,M,25,Unprovoked,white shark,Y
166,Wading,M,16,Unprovoked,bull shark,N
841,Spearfishing,M,52,Provoked,white shark,N
40,Snorkeling,F,40,Unprovoked,unknown,N
1152,Surfing,M,24,Unprovoked,unknown,N
771,Scuba diving,M,26,Unprovoked,wobbegong shark,N
1026,Surfing,M,39,Unprovoked,unknown,N
1042,boarding,M,12,Unprovoked,unknown,N
1864,Wading,M,13,Unprovoked,unknown,Y
1867,Swimming,M,24,Unprovoked,unknown,Y
395,Snorkeling,F,70,Unprovoked,Other,Y
1434,Fishing,M,13,Provoked,unknown,N
1432,Other,M,43,Unprovoked,Other,N
161,Standing,M,43,Unprovoked,unknown,N
1856,Swimming,M,16,Unprovoked,unknown,Y
273,Fishing,M,58,Provoked,Other,N
490,Spearfishing,M,43,Unprovoked,white shark,N
1603,Swimming,M,37,Unprovoked,Other,N
170,Other,F,17,Unprovoked,nurse shark,N
993,Scuba diving,M,30,Unprovoked,tiger shark,N
1416,Spearfishing,M,27,Unprovoked,Other,N
1444,Fishing,M,49,Provoked,Other,N
654,Other,M,21,Provoked,Other,Y
257,Wading,M,12,Unprovoked,bull shark,N
278,Swimming,F,34,Unprovoked,tiger shark,N
780,Surfing,M,14,Unprovoked,blacktip shark,N
3,Other,M,15,Unprovoked,bull shark,N
971,Other,M,51,Unprovoked,white shark,N
676,Snorkeling,M,26,Unprovoked,white shark,Y
1380,Other,M,34,Unprovoked,white shark,N
1748,Standing,M,21,Unprovoked,unknown,N
1453,Spearfishing,M,17,Unprovoked,Other,N
1642,Standing,M,17,Unprovoked,unknown,N
763,Surfing,M,50,Unprovoked,unknown,N
883,Surfing,M,14,Unprovoked,unknown,N
796,Surfing,M,13,Unprovoked,blacktip shark,N
1090,Other,M,39,Unprovoked,white shark,N
237,Surfing,M,28,Unprovoked,Other,N
145,Surfing,M,52,Unprovoked,white shark,N
701,Fishing,M,51,Unprovoked,Other,N
1476,Other,F,8,Unprovoked,unknown,Y
1755,Other,M,13,Unprovoked,unknown,Y
1570,Other,M,20,Provoked,unknown,N
1081,Other,M,27,Unprovoked,tiger shark,Y
1756,Other,M,20,Unprovoked,white shark,Y
690,Spearfishing,M,34,Unprovoked,tiger shark,N
1777,Other,F,15,Unprovoked,blacktip shark,N
1807,Fishing,M,20,Provoked,Other,N
1506,Other,M,17,Unprovoked,blacktip shark,N
693,Surfing,M,26,Unprovoked,white shark,N
984,Snorkeling,F,47,Unprovoked,tiger shark,N
756,Surfing,M,30,Unprovoked,unknown,N
680,Fishing,M,39,Boating,white shark,N
875,Wading,M,40,Unprovoked,unknown,N
809,Surfing,M,34,Unprovoked,unknown,N
804,Surfing,M,24,Unprovoked,white shark,N
1293,Other,M,38,Unprovoked,white shark,N
724,Spearfishing,M,40,Unprovoked,bull shark,N
195,Surfing,M,50,Unprovoked,white shark,N
299,Swimming,M,32,Unprovoked,unknown,Y
167,Wading,F,12,Unprovoked,bull shark,N
111,boarding,M,48,Unprovoked,tiger shark,N
1246,Wading,F,13,Unprovoked,Other,N
318,Surfing,M,24,Unprovoked,white shark,Y
1672,Spearfishing,M,36,Unprovoked,tiger shark,N
1752,Wading,M,36,Unprovoked,unknown,N
1153,Surfing,M,50,Unprovoked,unknown,N
462,Surfing,M,49,Unprovoked,blacktip shark,N
878,Other,M,69,Unprovoked,unknown,Y
1334,Spearfishing,M,29,Provoked,Other,N
772,Swimming,M,23,Unprovoked,bull shark,Y
1594,Swimming,M,16,Unprovoked,white shark,N
1474,Spearfishing,M,29,Unprovoked,unknown,N
994,Snorkeling,M,27,Unprovoked,unknown,N
226,Other,F,37,Unprovoked,Other,N
1414,Surfing,M,22,Unprovoked,unknown,N
1591,Swimming,M,17,Unprovoked,unknown,N
1255,Spearfishing,M,20,Provoked,Other,N
360,Other,M,51,Boating,unknown,N
672,Spearfishing,M,20,Unprovoked,Other,N
559,Swimming,F,15,Unprovoked,unknown,N
1353,Other,M,25,Unprovoked,bull shark,N
947,Surfing,M,26,Unprovoked,unknown,N
342,Surfing,M,17,Unprovoked,unknown,N
1644,Swimming,M,21,Unprovoked,Other,N
251,Other,M,45,Unprovoked,Other,N
1358,Surfing,M,25,Unprovoked,white shark,N
1630,Other,M,25,Unprovoked,Other,N
832,Spearfishing,M,44,Unprovoked,bull shark,N
880,Surfing,M,27,Unprovoked,Other,N
1245,Other,M,24,Unprovoked,unknown,N
656,Surfing,M,37,Unprovoked,white shark,N
214,Swimming,M,7,Unprovoked,bull shark,N
1299,Spearfishing,M,32,Unprovoked,white shark,Y
1433,Spearfishing,M,20,Provoked,unknown,N
604,Other,M,19,Unprovoked,white shark,N
1099,Spearfishing,M,21,Unprovoked,unknown,N
1852,Swimming,M,20,Unprovoked,unknown,Y
1763,Fishing,M,9,Unprovoked,grey nurse,N
542,Other,M,32,Unprovoked,tiger shark,N
721,Snorkeling,M,22,Unprovoked,Other,N
454,Swimming,F,22,Unprovoked,white shark,N
1050,Swimming,M,29,Unprovoked,unknown,Y
294,Surfing,M,32,Unprovoked,tiger shark,N
1197,Surfing,M,23,Unprovoked,unknown,N
726,Spearfishing,M,21,Unprovoked,tiger shark,Y
434,boarding,M,18,Unprovoked,white shark,N
1655,Spearfishing,M,19,Unprovoked,tiger shark,N
1023,Surfing,M,25,Unprovoked,tiger shark,Y
1862,Other,M,21,Unprovoked,white shark,Y
856,Swimming,F,55,Unprovoked,unknown,N
1388,Fishing,M,12,Provoked,Other,N
566,Spearfishing,F,48,Unprovoked,bull shark,N
1233,Spearfishing,M,26,Unprovoked,Other,N
1519,Spearfishing,M,28,Unprovoked,Other,N
1563,Spearfishing,M,28,Unprovoked,white shark,Y
1407,Spearfishing,M,37,Unprovoked,white shark,Y
1117,Snorkeling,M,26,Provoked,nurse shark,N
122,Wading,F,28,Unprovoked,unknown,N
891,Swimming,M,55,Unprovoked,bull shark,N
1550,Swimming,M,25,Unprovoked,unknown,Y
1598,Spearfishing,M,57,Provoked,unknown,N
1806,Swimming,M,32,Unprovoked,white shark,Y
1450,Fishing,M,18,Unprovoked,unknown,N
1849,Fishing,M,70,Provoked,Other,N
608,Spearfishing,F,28,Unprovoked,Other,N
852,Standing,M,26,Unprovoked,unknown,N
589,Surfing,M,24,Unprovoked,tiger shark,N
1729,Fishing,M,34,Provoked,unknown,N
1346,Scuba diving,M,34,Unprovoked,unknown,N
1188,Surfing,M,27,Unprovoked,white shark,Y
1462,Spearfishing,M,23,Unprovoked,white shark,Y
453,Surfing,M,25,Unprovoked,white shark,Y
504,Wading,M,16,Unprovoked,unknown,N
570,Fishing,M,38,Provoked,Other,N
1641,Surfing,M,19,Unprovoked,unknown,N
1819,Standing,M,22,Unprovoked,white shark,Y
83,Other,M,43,Provoked,nurse shark,N
104,Swimming,M,12,Unprovoked,wobbegong shark,N
1336,Other,M,34,Provoked,Other,N
1674,Other,M,17,Unprovoked,tiger shark,N
319,Other,M,52,Boating,unknown,N
1858,Other,F,18,Unprovoked,unknown,Y
788,Other,M,47,Unprovoked,white shark,N
1110,Other,M,40,Unprovoked,white shark,N
289,Scuba diving,M,48,Unprovoked,Other,N
1485,Other,M,16,Unprovoked,Other,N
1498,Swimming,M,35,Unprovoked,Other,N
743,Spearfishing,M,39,Unprovoked,bull shark,N
1278,Other,F,22,Unprovoked,bull shark,N
