Row,Activity,Sex,Age,Type,Species,Fatal
131,Surfing,M,14,Unprovoked,Other,N
132,Spearfishing,M,27,Unprovoked,tiger shark,N
133,Wading,M,12,Unprovoked,unknown,N
134,Surfing,M,42,Unprovoked,unknown,N
135,boarding,F,50,Unprovoked,white shark,N
136,Fishing,M,29,Provoked,Other,N
137,Other,M,62,Unprovoked,white shark,N
138,Wading,F,37,Unprovoked,unknown,N
139,Surfing,F,54,Unprovoked,white shark,N
140,Surfing,M,21,Unprovoked,white shark,N
141,Surfing,M,15,Unprovoked,unknown,N
142,Other,F,10,Unprovoked,unknown,N
143,Fishing,M,22,Boating,white shark,N
144,Spearfishing,M,57,Provoked,Other,N
145,Surfing,M,52,Unprovoked,white shark,N
146,Surfing,M,25,Unprovoked,blacktip shark,N
147,Other,M,46,Unprovoked,white shark,Y
148,Fishing,M,31,Provoked,Other,N
149,Surfing,M,40,Unprovoked,bronze whaler,N
150,Surfing,M,45,Unprovoked,bull shark,N
151,Surfing,M,34,Unprovoked,white shark,N
152,Surfing,M,38,Unprovoked,white shark,N
153,Spearfishing,F,23,Unprovoked,unknown,N
154,Surfing,M,52,Unprovoked,white shark,N
155,boarding,M,32,Unprovoked,white shark,N
156,Swimming,M,68,Unprovoked,unknown,N
157,Other,M,12,Unprovoked,unknown,N
158,Swimming,M,18,Unprovoked,bull shark,N
159,boarding,M,19,Unprovoked,white shark,N
160,Surfing,M,23,Unprovoked,white shark,N
161,Standing,M,43,Unprovoked,unknown,N
162,Swimming,M,19,Provoked,wobbegong shark,N
163,Swimming,M,6,Unprovoked,tiger shark,N
164,Surfing,F,37,Invalid,white shark,N
165,Standing,M,9,Unprovoked,unknown,N
166,Wading,M,16,Unprovoked,bull shark,N
167,Wading,F,12,Unprovoked,bull shark,N
168,boarding,F,13,Unprovoked,unknown,N
169,Other,M,11,Unprovoked,bull shark,N
170,Other,F,17,Unprovoked,nurse shark,N
171,Surfing,M,47,Unprovoked,bull shark,N
172,Spearfishing,M,19,Unprovoked,unknown,N
173,Surfing,M,18,Unprovoked,unknown,N
174,Snorkeling,M,50,Unprovoked,bull shark,Y
175,Other,M,29,Unprovoked,white shark,N
176,Wading,M,63,Unprovoked,Other,N
177,Surfing,M,26,Unprovoked,white shark,N
178,Other,M,71,Unprovoked,white shark,N
179,Other,M,48,Unprovoked,Other,N
180,Surfing,M,13,Unprovoked,bull shark,Y
181,Spearfishing,M,70,Unprovoked,bull shark,N
182,Fishing,M,36,Boating,white shark,N
183,Swimming,M,52,Unprovoked,Other,Y
184,Standing,M,58,Unprovoked,tiger shark,N
185,Other,M,9,Unprovoked,blacktip shark,N
186,Swimming,F,22,Unprovoked,tiger shark,Y
187,Surfing,M,41,Unprovoked,unknown,Y
188,Surfing,M,35,Unprovoked,unknown,N
189,Other,M,57,Boating,bull shark,N
190,Fishing,M,20,Provoked,unknown,N
191,Other,M,17,Unprovoked,unknown,N
192,Snorkeling,F,34,Unprovoked,white shark,N
193,Surfing,M,15,Unprovoked,raggedoth shark,N
194,Spearfishing,M,17,Unprovoked,white shark,Y
195,Surfing,M,50,Unprovoked,white shark,N
196,Spearfishing,M,17,Unprovoked,tiger shark,Y
197,Surfing,M,44,Unprovoked,unknown,N
198,Snorkeling,M,53,Unprovoked,unknown,N
199,Surfing,F,34,Unprovoked,tiger shark,N
200,Surfing,F,13,Unprovoked,unknown,N
201,Standing,F,7,Unprovoked,bull shark,N
202,Surfing,M,29,Unprovoked,blacktip shark,N
203,Surfing,M,15,Unprovoked,blacktip shark,N
204,Surfing,M,28,Unprovoked,unknown,N
205,Surfing,M,23,Unprovoked,white shark,N
206,Other,F,36,Unprovoked,blacktip shark,N
207,Swimming,M,50,Unprovoked,unknown,Y
208,Fishing,M,43,Unprovoked,bull shark,N
209,Fishing,M,52,Provoked,unknown,N
210,Surfing,F,13,Unprovoked,Other,N
211,Surfing,M,17,Unprovoked,Other,N
212,Surfing,M,29,Unprovoked,unknown,N
213,Spearfishing,M,31,Unprovoked,Other,N
214,Swimming,M,7,Unprovoked,bull shark,N
215,boarding,M,10,Unprovoked,unknown,N
216,Surfing,M,20,Unprovoked,white shark,N
217,Surfing,M,51,Unprovoked,Other,N
218,Swimming,M,61,Unprovoked,unknown,N
219,Swimming,M,39,Unprovoked,unknown,N
220,Surfing,M,19,Unprovoked,unknown,N
221,Other,M,48,Boat,Other,N
222,Spearfishing,M,42,Unprovoked,Other,N
223,Standing,M,16,Unprovoked,Other,N
224,boarding,M,39,Unprovoked,bronze whaler,N
225,Swimming,F,22,Unprovoked,bull shark,N
226,Other,F,37,Unprovoked,Other,N
227,Other,F,29,Unprovoked,bull shark,N
228,Other,M,10,Provoked,Other,N
229,Surfing,M,35,Unprovoked,white shark,N
230,Surfing,M,12,Unprovoked,unknown,N
231,Swimming,F,40,Unprovoked,unknown,N
232,Surfing,M,23,Unprovoked,unknown,N
233,Swimming,F,63,Unprovoked,white shark,Y
234,Swimming,M,66,Unprovoked,unknown,Y
235,Surfing,M,21,Unprovoked,blacktip shark,N
236,Surfing,M,21,Unprovoked,Other,N
237,Surfing,M,28,Unprovoked,Other,N
238,Spearfishing,M,24,Unprovoked,Other,N
239,Snorkeling,M,37,Unprovoked,unknown,N
240,Surfing,M,19,Unprovoked,white shark,N
241,boarding,M,29,Unprovoked,tiger shark,N
242,Surfing,M,30,Unprovoked,unknown,N
243,Surfing,M,26,Unprovoked,wobbegong shark,N
244,boarding,M,19,Unprovoked,tiger shark,Y
245,Surfing,M,35,Unprovoked,unknown,Y
246,Surfing,M,25,Unprovoked,white shark,N
247,boarding,M,46,Unprovoked,tiger shark,N
248,Snorkeling,F,60,Unprovoked,Other,N
249,boarding,M,24,Unprovoked,unknown,N
250,Surfing,M,41,Unprovoked,wobbegong shark,N
251,Other,M,45,Unprovoked,Other,N
252,Surfing,M,25,Unprovoked,tiger shark,N
253,Wading,M,6,Unprovoked,nurse shark,N
254,Swimming,M,74,Unprovoked,white shark,Y
255,Other,M,55,Unprovoked,white shark,N
256,Surfing,M,45,Unprovoked,white shark,N
257,Wading,M,12,Unprovoked,bull shark,N
258,Swimming,M,21,Unprovoked,bull shark,N
259,Surfing,F,13,Unprovoked,unknown,N
260,Surfing,M,43,Provoked,unknown,N
261,Standing,M,25,Unprovoked,unknown,N
262,Other,M,9,Unprovoked,unknown,N
263,Fishing,M,50,Provoked,Other,N
264,Snorkeling,F,20,Unprovoked,tiger shark,Y
265,Surfing,M,10,Unprovoked,bull shark,N
266,Fishing,M,17,Unprovoked,bull shark,N
267,Spearfishing,M,40,Unprovoked,unknown,N
268,Surfing,M,18,Unprovoked,tiger shark,N
269,Other,M,64,Unprovoked,nurse shark,N
270,Swimming,M,14,Unprovoked,unknown,N
271,Swimming,M,28,Unprovoked,tiger shark,N
272,boarding,F,10,Unprovoked,unknown,N
273,Fishing,M,58,Provoked,Other,N
274,Other,M,32,Unprovoked,Other,N
275,Surfing,M,29,Unprovoked,Other,N
276,boarding,M,36,Unprovoked,bull shark,Y
277,Surfing,M,16,Unprovoked,unknown,N
278,Swimming,F,34,Unprovoked,tiger shark,N
279,Fishing,M,51,Unprovoked,grey nurse,N
280,Other,M,9,Unprovoked,unknown,N
281,Surfing,M,21,Unprovoked,bull shark,N
282,boarding,M,53,Unprovoked,Other,N
283,Surfing,M,58,Unprovoked,unknown,N
284,Fishing,M,30,Provoked,raggedoth shark,N
