Activity,Sex,Age,Type,Species,Fatal
Surfing,M,15,Unprovoked,raggedoth shark,N
Swimming,F,24,Unprovoked,tiger shark,Y
Other,M,57,Boating,unknown,N
Scuba diving,M,52,Unprovoked,white shark,N
Swimming,F,21,Unprovoked,bull shark,Y
Surfing,M,21,Unprovoked,unknown,N
Other,M,49,Unprovoked,unknown,N
Surfing,M,30,Unprovoked,white shark,N
Swimming,M,29,Unprovoked,tiger shark,N
Spearfishing,M,44,Unprovoked,Other,N
Surfing,M,23,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Fishing,M,32,Provoked,raggedoth shark,N
Surfing,M,18,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,white shark,N
Wading,M,15,Unprovoked,unknown,N
Standing,M,55,Unprovoked,unknown,N
Surfing,M,20,Unprovoked,unknown,N
Surfing,M,36,Unprovoked,white shark,N
Surfing,F,20,Unprovoked,white shark,N
Surfing,M,22,Unprovoked,tiger shark,N
Scuba diving,F,57,Unprovoked,Other,N
Other,M,52,Unprovoked,white shark,N
Surfing,M,28,Unprovoked,tiger shark,N
Surfing,M,26,Unprovoked,white shark,N
Surfing,M,44,Unprovoked,bronze whaler,N
Surfing,F,68,Unprovoked,unknown,N
Wading,F,18,Unprovoked,bull shark,N
Surfing,M,40,Unprovoked,white shark,N
Other,M,21,Provoked,Other,Y
Scuba diving,M,23,Unprovoked,white shark,Y
Surfing,M,37,Unprovoked,white shark,N
Swimming,M,8,Unprovoked,Other,N
Surfing,M,16,Unprovoked,unknown,N
Scuba diving,M,24,Provoked,unknown,N
Swimming,M,22,Unprovoked,unknown,N
Other,F,14,Unprovoked,unknown,N
Fishing,M,16,Unprovoked,bull shark,N
Swimming,F,14,Unprovoked,bull shark,Y
Swimming,F,7,Unprovoked,Other,Y
Swimming,M,20,Unprovoked,unknown,N
Other,F,38,Unprovoked,white shark,N
Spearfishing,M,22,Unprovoked,white shark,Y
Swimming,M,33,Unprovoked,unknown,N
Surfing,M,32,Unprovoked,raggedoth shark,N
Surfing,M,47,Unprovoked,tiger shark,N
Fishing,M,25,Provoked,Other,N
Spearfishing,M,20,Unprovoked,Other,N
Surfing,M,40,Unprovoked,bronze whaler,N
Wading,F,70,Unprovoked,blacktip shark,N
Surfing,M,32,Unprovoked,unknown,N
Snorkeling,M,26,Unprovoked,white shark,Y
Other,M,45,Provoked,tiger shark,N
Swimming,M,18,Unprovoked,bull shark,N
Swimming,M,19,Unprovoked,unknown,N
Fishing,M,39,Boating,white shark,N
Other,M,18,Unprovoked,white shark,Y
Spearfishing,M,38,Unprovoked,bull shark,Y
Surfing,M,20,Unprovoked,raggedoth shark,N
Other,M,16,Unprovoked,raggedoth shark,N
Swimming,F,77,Unprovoked,white shark,Y
Surfing,F,38,Unprovoked,white shark,N
Other,M,40,Unprovoked,bull shark,N
Other,M,52,Unprovoked,white shark,N
Surfing,M,59,Unprovoked,bronze whaler,N
Spearfishing,M,34,Unprovoked,tiger shark,N
Surfing,M,34,Unprovoked,raggedoth shark,N
boarding,M,15,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,white shark,N
Other,F,17,Unprovoked,unknown,N
Other,M,24,Unprovoked,tiger shark,N
Other,M,50,Unprovoked,white shark,Y
Swimming,M,47,Unprovoked,unknown,N
Swimming,F,13,Unprovoked,unknown,N
Swimming,F,19,Unprovoked,unknown,N
Wading,M,11,Unprovoked,bull shark,N
Fishing,M,51,Unprovoked,Other,N
Surfing,M,30,Unprovoked,Other,Y
Wading,M,7,Unprovoked,unknown,N
Surfing,M,45,Unprovoked,white shark,N
boarding,M,17,Unprovoked,bronze whaler,N
Swimming,M,8,Unprovoked,unknown,N
Swimming,M,21,Unprovoked,white shark,Y
Wading,M,16,Unprovoked,unknown,N
Swimming,M,17,Unprovoked,bull shark,N
Surfing,M,44,Unprovoked,unknown,N
Spearfishing,M,63,Provoked,Other,N
Surfing,M,28,Unprovoked,Other,N
Surfing,M,57,Unprovoked,tiger shark,Y
Surfing,M,16,Unprovoked,white shark,N
Surfing,M,20,Unprovoked,bull shark,N
boarding,M,22,Unprovoked,bull shark,N
Surfing,M,20,Unprovoked,unknown,N
Surfing,M,51,Unprovoked,tiger shark,N
Spearfishing,M,47,Unprovoked,bronze whaler,N
Surfing,M,15,Unprovoked,Other,N
Snorkeling,M,22,Unprovoked,Other,N
Scuba diving,M,46,Unprovoked,white shark,N
Surfing,M,21,Unprovoked,Other,N
Spearfishing,M,40,Unprovoked,bull shark,N
Surfing,M,22,Unprovoked,raggedoth shark,N
Spearfishing,M,21,Unprovoked,tiger shark,Y
Surfing,F,35,Unprovoked,unknown,N
Surfing,M,35,Unprovoked,tiger shark,N
Surfing,M,18,Unprovoked,unknown,N
Surfing,M,22,Unprovoked,Other,N
Surfing,F,13,Unprovoked,tiger shark,N
Surfing,M,19,Unprovoked,unknown,N
Wading,F,41,Unprovoked,unknown,N
Surfing,M,30,Unprovoked,unknown,N
boarding,M,18,Unprovoked,unknown,N
Standing,M,15,Unprovoked,unknown,N
boarding,M,19,Unprovoked,white shark,Y
Swimming,F,50,Unprovoked,white shark,Y
Other,M,16,Unprovoked,white shark,N
Spearfishing,M,58,Unprovoked,unknown,N
Other,M,10,Provoked,unknown,N
Surfing,M,21,Unprovoked,unknown,N
Spearfishing,M,39,Unprovoked,bull shark,N
Surfing,M,17,Unprovoked,unknown,N
Surfing,M,15,Unprovoked,unknown,N
Standing,F,12,Unprovoked,unknown,N
Swimming,M,60,Unprovoked,unknown,N
Swimming,M,51,Unprovoked,unknown,N
Surfing,M,33,Unprovoked,Other,N
Wading,M,22,Unprovoked,unknown,N
Swimming,M,20,Unprovoked,Other,N
Surfing,M,34,Provoked,unknown,N
Surfing,M,17,Unprovoked,bull shark,N
Surfing,M,36,Unprovoked,unknown,N
Surfing,M,17,Unprovoked,unknown,N
Surfing,M,30,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Other,M,11,Unprovoked,unknown,N
Surfing,M,12,Unprovoked,unknown,N
Swimming,M,20,Unprovoked,unknown,N
Surfing,M,28,Unprovoked,Other,N
Surfing,M,50,Unprovoked,unknown,N
Scuba diving,M,44,Unprovoked,white shark,N
Wading,M,37,Unprovoked,unknown,N
Swimming,M,54,Unprovoked,unknown,N
Swimming,M,24,Unprovoked,unknown,N
Swimming,M,84,Unprovoked,unknown,Y
Snorkeling,F,18,Unprovoked,unknown,N
Snorkeling,M,25,Unprovoked,white shark,N
Scuba diving,M,26,Unprovoked,wobbegong shark,N
Swimming,M,23,Unprovoked,bull shark,Y
boarding,M,48,Unprovoked,white shark,N
Swimming,F,34,Unprovoked,unknown,N
Snorkeling,F,41,Unprovoked,Other,N
Surfing,M,21,Unprovoked,unknown,N
boarding,M,16,Unprovoked,unknown,N
Swimming,F,60,Unprovoked,unknown,N
Swimming,M,36,Unprovoked,bull shark,Y
Surfing,M,14,Unprovoked,blacktip shark,N
Surfing,M,35,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Surfing,M,47,Unprovoked,unknown,N
Fishing,M,55,Unprovoked,blacktip shark,N
Surfing,M,24,Unprovoked,unknown,N
Surfing,M,35,Unprovoked,unknown,N
Swimming,M,19,Unprovoked,bull shark,N
Other,M,47,Unprovoked,white shark,N
boarding,M,20,Unprovoked,unknown,N
Wading,M,36,Provoked,Other,N
Surfing,M,16,Unprovoked,tiger shark,N
Surfing,M,27,Unprovoked,unknown,N
Surfing,M,15,Unprovoked,nurse shark,N
Other,M,30,Provoked,tiger shark,N
Standing,M,14,Unprovoked,unknown,N
Surfing,M,13,Unprovoked,blacktip shark,N
Swimming,F,15,Unprovoked,bull shark,N
Fishing,M,41,Provoked,Other,Y
Surfing,M,22,Unprovoked,bull shark,N
Standing,F,9,Unprovoked,bull shark,N
Surfing,M,28,Unprovoked,unknown,N
Surfing,M,50,Unprovoked,unknown,N
Snorkeling,M,50,Unprovoked,Other,N
Surfing,M,24,Unprovoked,white shark,N
Other,M,16,Unprovoked,unknown,N
Fishing,M,55,Provoked,blacktip shark,N
Fishing,M,31,Unprovoked,unknown,N
Other,M,23,Unprovoked,white shark,Y
Surfing,M,34,Unprovoked,unknown,N
Standing,M,43,Unprovoked,bull shark,N
Wading,M,41,Unprovoked,unknown,N
Swimming,M,29,Unprovoked,unknown,N
boarding,M,17,Unprovoked,tiger shark,N
Wading,F,11,Unprovoked,unknown,N
Swimming,M,20,Unprovoked,unknown,N
Snorkeling,M,39,Unprovoked,nurse shark,N
Surfing,M,31,Unprovoked,Other,N
Other,M,35,Boating,Other,N
Surfing,M,20,Unprovoked,tiger shark,N
Fishing,M,16,Unprovoked,Other,N
Other,M,26,Unprovoked,Other,N
Snorkeling,M,35,Unprovoked,tiger shark,N
Surfing,M,49,Unprovoked,bronze whaler,N
Snorkeling,F,20,Unprovoked,bronze whaler,N
Surfing,M,26,Unprovoked,tiger shark,N
Surfing,M,21,Provoked,unknown,N
Other,M,42,Invalid,unknown,Y
Swimming,M,28,Unprovoked,white shark,Y
Swimming,F,23,Unprovoked,white shark,N
Wading,M,20,Unprovoked,unknown,N
Swimming,M,10,Unprovoked,bull shark,Y
Spearfishing,M,44,Unprovoked,bull shark,N
Surfing,M,17,Unprovoked,unknown,N
Surfing,M,20,Unprovoked,blacktip shark,N
Surfing,M,19,Unprovoked,blacktip shark,N
Surfing,M,19,Unprovoked,blacktip shark,N
Spearfishing,M,43,Unprovoked,bull shark,N
boarding,M,18,Unprovoked,unknown,N
Swimming,M,8,Unprovoked,bull shark,N
Swimming,M,14,Unprovoked,unknown,N
Spearfishing,M,52,Provoked,white shark,N
Wading,F,29,Unprovoked,unknown,N
Swimming,M,11,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,white shark,N
Surfing,M,45,Unprovoked,unknown,N
Surfing,M,12,Unprovoked,blacktip shark,N
Surfing,M,21,Unprovoked,blacktip shark,N
boarding,M,12,Unprovoked,blacktip shark,N
Surfing,M,22,Unprovoked,blacktip shark,N
Surfing,M,19,Unprovoked,blacktip shark,N
Surfing,M,46,Unprovoked,white shark,N
Standing,M,26,Unprovoked,unknown,N
Surfing,M,40,Unprovoked,bronze whaler,N
Surfing,M,40,Unprovoked,bronze whaler,N
Other,M,35,Boating,unknown,N
Swimming,F,55,Unprovoked,unknown,N
Swimming,M,47,Unprovoked,unknown,Y
Other,M,30,Unprovoked,unknown,N
Spearfishing,M,38,Unprovoked,bronze whaler,N
Other,M,28,Unprovoked,tiger shark,N
Swimming,M,73,Unprovoked,unknown,N
Swimming,M,52,Unprovoked,white shark,N
Swimming,M,49,Unprovoked,white shark,Y
Surfing,M,27,Unprovoked,white shark,N
Swimming,F,56,Unprovoked,tiger shark,N
Surfing,M,17,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,blacktip shark,N
Surfing,M,17,Unprovoked,white shark,Y
Surfing,M,25,Unprovoked,white shark,Y
Other,M,12,Provoked,Other,N
Surfing,M,31,Unprovoked,white shark,Y
Surfing,M,25,Unprovoked,unknown,N
Other,M,48,Unprovoked,white shark,N
Swimming,M,28,Unprovoked,unknown,Y
Wading,M,40,Unprovoked,unknown,N
Surfing,M,27,Unprovoked,tiger shark,N
Swimming,M,47,Unprovoked,unknown,N
Other,M,69,Unprovoked,unknown,Y
Surfing,M,53,Unprovoked,tiger shark,N
Surfing,M,27,Unprovoked,Other,N
Standing,F,44,Unprovoked,blacktip shark,N
Snorkeling,F,45,Unprovoked,nurse shark,N
Surfing,M,14,Unprovoked,unknown,N
Scuba diving,M,69,Unprovoked,Other,N
Other,M,5,Unprovoked,Other,N
Other,F,12,Unprovoked,tiger shark,N
Spearfishing,F,55,Unprovoked,nurse shark,N
Wading,F,13,Unprovoked,unknown,N
Standing,F,19,Unprovoked,unknown,N
Surfing,M,17,Unprovoked,blacktip shark,N
Swimming,M,55,Unprovoked,bull shark,N
Swimming,M,44,Unprovoked,bull shark,N
Swimming,M,26,Unprovoked,unknown,N
boarding,F,14,Unprovoked,unknown,N
Surfing,M,37,Unprovoked,unknown,N
Spearfishing,M,35,Unprovoked,tiger shark,Y
Spearfishing,M,39,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,unknown,N
Surfing,M,15,Unprovoked,Other,N
Swimming,F,13,Unprovoked,Other,N
Other,F,12,Unprovoked,Other,N
Surfing,M,18,Unprovoked,unknown,N
Spearfishing,M,39,Invalid,unknown,N
Swimming,F,51,Unprovoked,tiger shark,N
Surfing,M,35,Unprovoked,white shark,N
Swimming,M,39,Unprovoked,unknown,N
Swimming,M,12,Unprovoked,Other,N
Swimming,M,12,Unprovoked,Other,N
Surfing,M,16,Unprovoked,tiger shark,N
Other,M,37,Unprovoked,white shark,N
Wading,F,61,Unprovoked,Other,N
Surfing,M,13,Unprovoked,unknown,N
Wading,M,7,Provoked,unknown,N
Surfing,M,28,Unprovoked,unknown,N
Fishing,M,23,Unprovoked,unknown,N
Other,M,10,Unprovoked,unknown,N
Surfing,M,62,Unprovoked,unknown,N
Spearfishing,M,35,Unprovoked,bull shark,N
Surfing,M,42,Unprovoked,white shark,N
Swimming,M,43,Unprovoked,bull shark,N
Surfing,M,43,Unprovoked,tiger shark,N
boarding,M,14,Unprovoked,white shark,Y
Wading,F,30,Unprovoked,blacktip shark,N
Surfing,M,29,Unprovoked,white shark,N
Other,M,20,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,unknown,N
Wading,M,5,Unprovoked,blacktip shark,N
Surfing,M,22,Unprovoked,unknown,Y
Surfing,M,21,Unprovoked,tiger shark,N
Swimming,F,41,Unprovoked,Other,N
Swimming,M,52,Unprovoked,bull shark,Y
Fishing,M,28,Provoked,Other,N
Swimming,F,29,Unprovoked,unknown,N
Surfing,M,35,Unprovoked,bronze whaler,N
Surfing,M,25,Unprovoked,Other,N
Spearfishing,M,47,Unprovoked,bull shark,N
Spearfishing,M,30,Unprovoked,white shark,N
Surfing,M,18,Unprovoked,white shark,N
Swimming,M,9,Unprovoked,tiger shark,Y
Surfing,M,14,Unprovoked,unknown,N
Other,M,13,Unprovoked,unknown,N
Surfing,M,32,Unprovoked,white shark,N
Fishing,M,52,Provoked,unknown,N
Surfing,M,22,Unprovoked,Other,Y
Surfing,M,28,Unprovoked,unknown,N
Spearfishing,M,25,Provoked,unknown,N
Surfing,M,26,Unprovoked,unknown,N
boarding,M,16,Unprovoked,white shark,N
Spearfishing,M,28,Unprovoked,Other,N
boarding,M,11,Unprovoked,unknown,N
Surfing,M,19,Unprovoked,white shark,N
Spearfishing,M,24,Unprovoked,white shark,N
Wading,M,47,Unprovoked,raggedoth shark,N
Surfing,M,16,Unprovoked,unknown,N
Surfing,M,10,Unprovoked,raggedoth shark,N
Other,M,26,Unprovoked,unknown,Y
boarding,M,20,Unprovoked,white shark,Y
boarding,M,15,Unprovoked,white shark,N
boarding,M,16,Unprovoked,Other,N
Surfing,M,40,Unprovoked,Other,N
Swimming,F,14,Unprovoked,blacktip shark,N
boarding,M,22,Unprovoked,white shark,N
Other,F,35,Unprovoked,unknown,Y
Surfing,M,50,Unprovoked,white shark,N
Scuba diving,M,16,Provoked,nurse shark,N
Snorkeling,M,33,Unprovoked,white shark,N
Swimming,M,32,Unprovoked,Other,N
Surfing,M,23,Unprovoked,Other,N
Spearfishing,M,39,Unprovoked,white shark,Y
Scuba diving,M,42,Unprovoked,white shark,N
Other,M,51,Unprovoked,white shark,N
Surfing,M,19,Unprovoked,tiger shark,N
Surfing,M,23,Unprovoked,blacktip shark,N
Surfing,M,12,Unprovoked,unknown,N
Surfing,M,29,Unprovoked,white shark,N
Scuba diving,M,33,Unprovoked,tiger shark,Y
Fishing,M,16,Unprovoked,unknown,Y
Wading,F,10,Unprovoked,unknown,N
Surfing,M,17,Unprovoked,Other,N
Surfing,M,19,Unprovoked,Other,N
Surfing,M,25,Unprovoked,white shark,Y
Standing,M,50,Unprovoked,blacktip shark,N
Fishing,M,55,Unprovoked,white shark,Y
Snorkeling,F,47,Unprovoked,tiger shark,N
Surfing,M,18,Unprovoked,Other,N
Surfing,M,33,Unprovoked,Other,N
Spearfishing,M,35,Unprovoked,unknown,N
Surfing,M,34,Unprovoked,Other,N
Surfing,M,12,Unprovoked,Other,N
Spearfishing,M,54,Unprovoked,Other,N
Surfing,M,22,Unprovoked,white shark,N
Swimming,F,21,Unprovoked,unknown,N
Scuba diving,M,30,Unprovoked,tiger shark,N
Snorkeling,M,27,Unprovoked,unknown,N
Surfing,M,41,Unprovoked,tiger shark,Y
Surfing,M,45,Unprovoked,white shark,N
Surfing,M,22,Unprovoked,white shark,N
Surfing,M,21,Unprovoked,unknown,N
Surfing,M,31,Unprovoked,white shark,N
Other,M,23,Unprovoked,white shark,N
Surfing,M,19,Unprovoked,unknown,N
Spearfishing,M,29,Provoked,white shark,N
boarding,M,19,Unprovoked,tiger shark,N
Other,M,36,Unprovoked,white shark,N
Fishing,M,21,Unprovoked,Other,N
Swimming,M,52,Unprovoked,white shark,Y
Swimming,M,46,Unprovoked,unknown,N
Standing,F,63,Unprovoked,unknown,N
Surfing,M,17,Unprovoked,white shark,N
Other,M,45,Invalid,unknown,Y
Surfing,M,22,Unprovoked,unknown,N
Surfing,M,27,Unprovoked,blacktip shark,N
Swimming,M,11,Unprovoked,wobbegong shark,N
Swimming,F,16,Unprovoked,wobbegong shark,N
Swimming,F,47,Unprovoked,tiger shark,N
Fishing,M,7,Unprovoked,unknown,N
Other,M,24,Unprovoked,bronze whaler,N
Swimming,F,32,Provoked,nurse shark,N
Swimming,M,7,Unprovoked,Other,N
Wading,M,33,Provoked,nurse shark,N
Swimming,F,13,Unprovoked,bronze whaler,N
Swimming,M,53,Unprovoked,tiger shark,N
Surfing,M,25,Unprovoked,tiger shark,Y
Other,M,22,Unprovoked,white shark,N
Standing,F,15,Unprovoked,unknown,N
Surfing,M,39,Unprovoked,unknown,N
Surfing,M,14,Unprovoked,unknown,N
Surfing,M,25,Unprovoked,white shark,N
Surfing,M,19,Unprovoked,unknown,N
Scuba diving,M,25,Unprovoked,bull shark,Y
Other,M,29,Unprovoked,white shark,Y
Other,M,32,Unprovoked,white shark,N
Surfing,M,19,Unprovoked,unknown,N
Surfing,M,16,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Swimming,M,16,Unprovoked,unknown,N
Swimming,M,23,Unprovoked,Other,N
Surfing,M,19,Unprovoked,unknown,N
Fishing,M,18,Unprovoked,unknown,N
Wading,M,20,Unprovoked,unknown,N
Other,F,14,Unprovoked,blacktip shark,N
boarding,M,12,Unprovoked,unknown,N
Fishing,F,32,Provoked,blacktip shark,N
Scuba diving,M,31,Unprovoked,white shark,N
Other,M,13,Unprovoked,Other,N
Swimming,M,45,Unprovoked,unknown,N
Swimming,F,10,Unprovoked,unknown,N
Swimming,M,38,Unprovoked,tiger shark,N
Swimming,F,45,Unprovoked,Other,Y
Swimming,M,29,Unprovoked,unknown,Y
Surfing,M,15,Unprovoked,bull shark,N
Other,M,69,Unprovoked,unknown,Y
Other,F,44,Unprovoked,unknown,Y
Scuba diving,M,47,Unprovoked,white shark,Y
Surfing,M,35,Unprovoked,bronze whaler,N
Swimming,M,22,Unprovoked,raggedoth shark,N
Swimming,M,14,Unprovoked,tiger shark,Y
Surfing,M,17,Unprovoked,unknown,N
boarding,M,26,Unprovoked,white shark,N
Other,M,42,Unprovoked,white shark,Y
Surfing,F,34,Unprovoked,unknown,N
Wading,F,9,Provoked,unknown,N
Surfing,M,43,Unprovoked,white shark,N
Other,F,12,Unprovoked,unknown,N
Surfing,M,24,Unprovoked,bull shark,Y
Surfing,M,22,Unprovoked,white shark,Y
Surfing,M,31,Unprovoked,white shark,N
Surfing,M,15,Unprovoked,unknown,N
Spearfishing,M,30,Unprovoked,unknown,N
Surfing,M,28,Unprovoked,Other,N
Spearfishing,M,35,Unprovoked,unknown,N
Wading,F,36,Unprovoked,unknown,N
Surfing,M,22,Unprovoked,unknown,N
Swimming,F,19,Unprovoked,white shark,N
Other,M,33,Provoked,Other,N
Surfing,M,25,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,unknown,N
Surfing,M,15,Unprovoked,white shark,N
Swimming,M,23,Unprovoked,unknown,N
Swimming,M,33,Unprovoked,unknown,N
Other,M,27,Unprovoked,tiger shark,Y
Surfing,M,26,Unprovoked,white shark,N
Swimming,F,26,Unprovoked,bull shark,N
Other,F,34,Boating,white shark,N
Spearfishing,M,36,Unprovoked,white shark,N
Wading,M,19,Unprovoked,unknown,N
Swimming,M,69,Unprovoked,unknown,N
Spearfishing,M,51,Unprovoked,blacktip shark,N
Other,F,19,Unprovoked,bull shark,N
Other,M,39,Unprovoked,white shark,N
Surfing,M,28,Unprovoked,white shark,N
Other,F,12,Unprovoked,unknown,N
Other,M,22,Unprovoked,unknown,N
Scuba diving,M,31,Unprovoked,Other,Y
Scuba diving,F,34,Unprovoked,white shark,Y
Other,M,35,Unprovoked,tiger shark,N
Spearfishing,M,55,Unprovoked,white shark,N
Fishing,M,69,Provoked,bronze whaler,N
Spearfishing,M,21,Unprovoked,unknown,N
Surfing,M,29,Unprovoked,white shark,N
Standing,M,10,Unprovoked,tiger shark,N
Other,M,30,Unprovoked,tiger shark,N
Spearfishing,M,31,Unprovoked,Other,N
Surfing,M,19,Unprovoked,blacktip shark,N
Surfing,M,24,Unprovoked,unknown,N
Other,M,46,Boating,white shark,N
Scuba diving,M,30,Unprovoked,Other,N
Scuba diving,M,40,Unprovoked,unknown,N
boarding,M,18,Unprovoked,tiger shark,Y
Other,M,40,Unprovoked,white shark,N
Surfing,M,28,Unprovoked,tiger shark,N
Surfing,M,28,Unprovoked,white shark,Y
Surfing,M,20,Unprovoked,white shark,N
Snorkeling,F,34,Unprovoked,blacktip shark,N
Surfing,M,17,Unprovoked,white shark,N
Surfing,M,22,Unprovoked,white shark,N
Snorkeling,M,26,Provoked,nurse shark,N
Standing,F,42,Unprovoked,unknown,N
Surfing,M,16,Unprovoked,bull shark,Y
Surfing,M,35,Unprovoked,unknown,N
Surfing,F,36,Unprovoked,tiger shark,N
Surfing,M,17,Unprovoked,bronze whaler,N
Other,M,41,Unprovoked,white shark,Y
Surfing,M,21,Unprovoked,unknown,N
boarding,M,19,Unprovoked,bronze whaler,N
Swimming,M,19,Unprovoked,Other,N
Spearfishing,M,36,Unprovoked,blacktip shark,N
Other,M,25,Unprovoked,white shark,N
Snorkeling,F,41,Unprovoked,tiger shark,Y
boarding,M,14,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,unknown,N
Surfing,M,32,Unprovoked,white shark,N
Scuba diving,M,19,Unprovoked,white shark,Y
Other,M,36,Provoked,Other,N
Swimming,M,23,Unprovoked,Other,N
Wading,F,10,Unprovoked,unknown,N
Other,F,40,Boating,white shark,N
Snorkeling,M,39,Unprovoked,Other,N
Swimming,M,42,Unprovoked,blacktip shark,N
Surfing,M,30,Unprovoked,tiger shark,N
Surfing,M,32,Unprovoked,white shark,N
boarding,M,13,Unprovoked,unknown,N
Swimming,M,31,Unprovoked,bull shark,N
Swimming,F,65,Unprovoked,tiger shark,Y
Other,M,23,Unprovoked,unknown,N
Surfing,M,22,Unprovoked,unknown,N
Scuba diving,M,18,Unprovoked,grey nurse,N
Surfing,M,38,Unprovoked,white shark,N
Spearfishing,M,20,Unprovoked,white shark,N
Surfing,M,22,Unprovoked,unknown,N
Swimming,M,26,Unprovoked,unknown,N
Surfing,M,24,Unprovoked,unknown,N
Surfing,M,50,Unprovoked,unknown,N
Surfing,M,25,Unprovoked,Other,N
Surfing,M,43,Unprovoked,tiger shark,N
Surfing,M,19,Unprovoked,unknown,N
Spearfishing,M,26,Unprovoked,white shark,N
Spearfishing,M,49,Unprovoked,white shark,N
Other,M,44,Boating,white shark,N
Surfing,M,22,Unprovoked,white shark,N
Scuba diving,F,21,Unprovoked,white shark,Y
Spearfishing,M,38,Unprovoked,unknown,N
Other,M,22,Unprovoked,white shark,N
Other,M,23,Unprovoked,white shark,N
Surfing,M,31,Unprovoked,tiger shark,N
Surfing,M,29,Unprovoked,unknown,N
Surfing,M,32,Unprovoked,white shark,N
Spearfishing,M,29,Unprovoked,white shark,Y
Swimming,M,10,Unprovoked,Other,N
Surfing,M,17,Unprovoked,white shark,N
Surfing,M,12,Unprovoked,unknown,N
Other,M,29,Unprovoked,white shark,N
Fishing,M,51,Provoked,unknown,N
Other,M,38,Unprovoked,white shark,N
Surfing,M,31,Unprovoked,Other,N
Other,M,46,Provoked,Other,N
Other,M,30,Provoked,grey nurse,N
Swimming,M,21,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,white shark,N
Surfing,M,17,Unprovoked,bronze whaler,N
Fishing,M,41,Provoked,white shark,N
Surfing,M,34,Unprovoked,white shark,N
Other,F,9,Unprovoked,unknown,N
Spearfishing,M,45,Unprovoked,tiger shark,N
Surfing,M,16,Unprovoked,white shark,N
Other,M,28,Unprovoked,white shark,N
Swimming,M,19,Unprovoked,unknown,N
Surfing,M,27,Unprovoked,white shark,Y
Swimming,M,47,Unprovoked,white shark,Y
Other,F,24,Unprovoked,white shark,Y
boarding,M,10,Unprovoked,Other,N
Surfing,M,17,Unprovoked,tiger shark,N
Surfing,M,21,Unprovoked,white shark,N
Surfing,M,38,Unprovoked,unknown,N
Surfing,M,15,Unprovoked,unknown,N
Surfing,M,30,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,unknown,N
Wading,F,23,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,unknown,N
Snorkeling,M,38,Unprovoked,bull shark,Y
Surfing,M,27,Unprovoked,white shark,N
Spearfishing,M,28,Unprovoked,Other,N
Other,M,35,Unprovoked,Other,N
Spearfishing,M,36,Unprovoked,white shark,N
Scuba diving,M,42,Unprovoked,tiger shark,N
Other,M,37,Unprovoked,Other,N
Surfing,M,25,Unprovoked,unknown,N
Surfing,M,17,Unprovoked,unknown,N
Surfing,M,20,Unprovoked,unknown,N
Other,F,15,Unprovoked,Other,N
Other,M,22,Unprovoked,tiger shark,N
Other,M,33,Provoked,Other,N
Surfing,M,12,Unprovoked,wobbegong shark,N
Surfing,M,16,Unprovoked,blacktip shark,N
Surfing,M,20,Unprovoked,unknown,N
Spearfishing,M,21,Unprovoked,white shark,N
Scuba diving,M,47,Unprovoked,white shark,Y
Surfing,M,24,Unprovoked,white shark,N
Wading,M,12,Unprovoked,unknown,N
Surfing,M,40,Unprovoked,white shark,N
Surfing,M,27,Unprovoked,unknown,N
Surfing,F,32,Unprovoked,unknown,N
Wading,F,16,Unprovoked,unknown,N
Swimming,M,8,Unprovoked,unknown,Y
Surfing,M,18,Unprovoked,bronze whaler,N
Spearfishing,M,30,Unprovoked,white shark,N
boarding,M,21,Unprovoked,white shark,Y
Surfing,M,40,Unprovoked,Other,N
Spearfishing,M,27,Unprovoked,white shark,N
Swimming,F,6,Unprovoked,Other,N
Other,M,32,Unprovoked,unknown,N
Surfing,M,28,Unprovoked,bull shark,N
Spearfishing,M,26,Unprovoked,Other,N
Other,M,26,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,white shark,N
Swimming,M,46,Unprovoked,raggedoth shark,N
Spearfishing,M,29,Unprovoked,raggedoth shark,N
Surfing,M,29,Unprovoked,bronze whaler,N
Surfing,M,22,Unprovoked,blacktip shark,N
Surfing,M,16,Unprovoked,unknown,N
boarding,M,22,Unprovoked,white shark,N
Other,M,46,Unprovoked,unknown,N
boarding,M,33,Unprovoked,unknown,N
Other,M,24,Unprovoked,unknown,N
Wading,F,13,Unprovoked,Other,N
Other,F,10,Unprovoked,tiger shark,N
Snorkeling,M,13,Unprovoked,white shark,N
Spearfishing,M,39,Provoked,Other,N
