Activity,Sex,Age,Type,Species,Fatal
Fishing,M,22,Boating,white shark,N
Spearfishing,M,57,Provoked,Other,N
Surfing,M,52,Unprovoked,white shark,N
Surfing,M,25,Unprovoked,blacktip shark,N
Other,M,46,Unprovoked,white shark,Y
Fishing,M,31,Provoked,Other,N
Surfing,M,40,Unprovoked,bronze whaler,N
Surfing,M,45,Unprovoked,bull shark,N
Surfing,M,34,Unprovoked,white shark,N
Surfing,M,38,Unprovoked,white shark,N
Spearfishing,F,23,Unprovoked,unknown,N
Surfing,M,52,Unprovoked,white shark,N
boarding,M,32,Unprovoked,white shark,N
Swimming,M,68,Unprovoked,unknown,N
Other,M,12,Unprovoked,unknown,N
Swimming,M,18,Unprovoked,bull shark,N
boarding,M,19,Unprovoked,white shark,N
Surfing,M,23,Unprovoked,white shark,N
Standing,M,43,Unprovoked,unknown,N
Swimming,M,19,Provoked,wobbegong shark,N
Swimming,M,6,Unprovoked,tiger shark,N
Surfing,F,37,Invalid,white shark,N
Standing,M,9,Unprovoked,unknown,N
Wading,M,16,Unprovoked,bull shark,N
Wading,F,12,Unprovoked,bull shark,N
boarding,F,13,Unprovoked,unknown,N
Other,M,11,Unprovoked,bull shark,N
Other,F,17,Unprovoked,nurse shark,N
Surfing,M,47,Unprovoked,bull shark,N
Spearfishing,M,19,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Snorkeling,M,50,Unprovoked,bull shark,Y
Other,M,29,Unprovoked,white shark,N
Wading,M,63,Unprovoked,Other,N
Surfing,M,26,Unprovoked,white shark,N
Other,M,71,Unprovoked,white shark,N
Other,M,48,Unprovoked,Other,N
Surfing,M,13,Unprovoked,bull shark,Y
Spearfishing,M,70,Unprovoked,bull shark,N
Fishing,M,36,Boating,white shark,N
Swimming,M,52,Unprovoked,Other,Y
Standing,M,58,Unprovoked,tiger shark,N
Other,M,9,Unprovoked,blacktip shark,N
Swimming,F,22,Unprovoked,tiger shark,Y
Surfing,M,41,Unprovoked,unknown,Y
Surfing,M,35,Unprovoked,unknown,N
Other,M,57,Boating,bull shark,N
Fishing,M,20,Provoked,unknown,N
Other,M,17,Unprovoked,unknown,N
Snorkeling,F,34,Unprovoked,white shark,N
Surfing,M,15,Unprovoked,raggedoth shark,N
Spearfishing,M,17,Unprovoked,white shark,Y
Surfing,M,50,Unprovoked,white shark,N
Spearfishing,M,17,Unprovoked,tiger shark,Y
Surfing,M,44,Unprovoked,unknown,N
Snorkeling,M,53,Unprovoked,unknown,N
Surfing,F,34,Unprovoked,tiger shark,N
Surfing,F,13,Unprovoked,unknown,N
Standing,F,7,Unprovoked,bull shark,N
Surfing,M,29,Unprovoked,blacktip shark,N
Surfing,M,15,Unprovoked,blacktip shark,N
Surfing,M,28,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,white shark,N
Other,F,36,Unprovoked,blacktip shark,N
Swimming,M,50,Unprovoked,unknown,Y
Fishing,M,43,Unprovoked,bull shark,N
Fishing,M,52,Provoked,unknown,N
Surfing,F,13,Unprovoked,Other,N
Surfing,M,17,Unprovoked,Other,N
Surfing,M,29,Unprovoked,unknown,N
Spearfishing,M,31,Unprovoked,Other,N
Swimming,M,7,Unprovoked,bull shark,N
boarding,M,10,Unprovoked,unknown,N
Surfing,M,20,Unprovoked,white shark,N
Surfing,M,51,Unprovoked,Other,N
Swimming,M,61,Unprovoked,unknown,N
Swimming,M,39,Unprovoked,unknown,N
Surfing,M,19,Unprovoked,unknown,N
Other,M,48,Boat,Other,N
Spearfishing,M,42,Unprovoked,Other,N
Standing,M,16,Unprovoked,Other,N
boarding,M,39,Unprovoked,bronze whaler,N
Swimming,F,22,Unprovoked,bull shark,N
Other,F,37,Unprovoked,Other,N
Other,F,29,Unprovoked,bull shark,N
Other,M,10,Provoked,Other,N
Surfing,M,35,Unprovoked,white shark,N
Surfing,M,12,Unprovoked,unknown,N
Swimming,F,40,Unprovoked,unknown,N
Surfing,M,23,Unprovoked,unknown,N
Swimming,F,63,Unprovoked,white shark,Y
Swimming,M,66,Unprovoked,unknown,Y
Surfing,M,21,Unprovoked,blacktip shark,N
Surfing,M,21,Unprovoked,Other,N
Surfing,M,28,Unprovoked,Other,N
Spearfishing,M,24,Unprovoked,Other,N
Snorkeling,M,37,Unprovoked,unknown,N
Surfing,M,19,Unprovoked,white shark,N
boarding,M,29,Unprovoked,tiger shark,N
Surfing,M,30,Unprovoked,unknown,N
Surfing,M,26,Unprovoked,wobbegong shark,N
boarding,M,19,Unprovoked,tiger shark,Y
Surfing,M,35,Unprovoked,unknown,Y
Surfing,M,25,Unprovoked,white shark,N
boarding,M,46,Unprovoked,tiger shark,N
Snorkeling,F,60,Unprovoked,Other,N
boarding,M,24,Unprovoked,unknown,N
Surfing,M,41,Unprovoked,wobbegong shark,N
Other,M,45,Unprovoked,Other,N
Surfing,M,25,Unprovoked,tiger shark,N
Wading,M,6,Unprovoked,nurse shark,N
Swimming,M,74,Unprovoked,white shark,Y
Other,M,55,Unprovoked,white shark,N
Surfing,M,45,Unprovoked,white shark,N
Wading,M,12,Unprovoked,bull shark,N
Swimming,M,21,Unprovoked,bull shark,N
Surfing,F,13,Unprovoked,unknown,N
Surfing,M,43,Provoked,unknown,N
Standing,M,25,Unprovoked,unknown,N
Other,M,9,Unprovoked,unknown,N
Fishing,M,50,Provoked,Other,N
Snorkeling,F,20,Unprovoked,tiger shark,Y
Surfing,M,10,Unprovoked,bull shark,N
Fishing,M,17,Unprovoked,bull shark,N
Spearfishing,M,40,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,tiger shark,N
Other,M,64,Unprovoked,nurse shark,N
Swimming,M,14,Unprovoked,unknown,N
Swimming,M,28,Unprovoked,tiger shark,N
boarding,F,10,Unprovoked,unknown,N
Fishing,M,58,Provoked,Other,N
Other,M,32,Unprovoked,Other,N
Surfing,M,29,Unprovoked,Other,N
boarding,M,36,Unprovoked,bull shark,Y
Surfing,M,16,Unprovoked,unknown,N
Swimming,F,34,Unprovoked,tiger shark,N
Fishing,M,51,Unprovoked,grey nurse,N
